@RELATION miceSleep
@ATTRIBUTE EMGAverage  REAL
@ATTRIBUTE EMGStandardDev  REAL
@ATTRIBUTE EMGmin  REAL
@ATTRIBUTE EMGmax  REAL
@ATTRIBUTE EEG1:0-2  REAL
@ATTRIBUTE EEG1:2-4  REAL
@ATTRIBUTE EEG1:4-6  REAL
@ATTRIBUTE EEG1:6-8  REAL
@ATTRIBUTE EEG1:8-10  REAL
@ATTRIBUTE EEG1:10-12  REAL
@ATTRIBUTE EEG1:12-14  REAL
@ATTRIBUTE EEG1:14-16  REAL
@ATTRIBUTE EEG1:16-18  REAL
@ATTRIBUTE EEG1:18-20  REAL
@ATTRIBUTE EEG1:20-22  REAL
@ATTRIBUTE EEG1:22-24  REAL
@ATTRIBUTE EEG1:24-26  REAL
@ATTRIBUTE EEG1:26-28  REAL
@ATTRIBUTE EEG1:28-30  REAL
@ATTRIBUTE EEG1:30-32  REAL
@ATTRIBUTE EEG1:32-34  REAL
@ATTRIBUTE EEG1:34-36  REAL
@ATTRIBUTE EEG1:36-38  REAL
@ATTRIBUTE EEG1:38-40  REAL
@ATTRIBUTE EEG1:40-42  REAL
@ATTRIBUTE EEG1:42-44  REAL
@ATTRIBUTE EEG1:44-46  REAL
@ATTRIBUTE EEG1:46-48  REAL
@ATTRIBUTE EEG1:48-50  REAL
@ATTRIBUTE EEG2:0-2  REAL
@ATTRIBUTE EEG2:2-4  REAL
@ATTRIBUTE EEG2:4-6  REAL
@ATTRIBUTE EEG2:6-8  REAL
@ATTRIBUTE EEG2:8-10  REAL
@ATTRIBUTE EEG2:10-12  REAL
@ATTRIBUTE EEG2:12-14  REAL
@ATTRIBUTE EEG2:14-16  REAL
@ATTRIBUTE EEG2:16-18  REAL
@ATTRIBUTE EEG2:18-20  REAL
@ATTRIBUTE EEG2:20-22  REAL
@ATTRIBUTE EEG2:22-24  REAL
@ATTRIBUTE EEG2:24-26  REAL
@ATTRIBUTE EEG2:26-28  REAL
@ATTRIBUTE EEG2:28-30  REAL
@ATTRIBUTE EEG2:30-32  REAL
@ATTRIBUTE EEG2:32-34  REAL
@ATTRIBUTE EEG2:34-36  REAL
@ATTRIBUTE EEG2:36-38  REAL
@ATTRIBUTE EEG2:38-40  REAL
@ATTRIBUTE EEG2:40-42  REAL
@ATTRIBUTE EEG2:42-44  REAL
@ATTRIBUTE EEG2:44-46  REAL
@ATTRIBUTE EEG2:46-48  REAL
@ATTRIBUTE EEG2:48-50  REAL
@ATTRIBUTE EEGavg:0-2  REAL
@ATTRIBUTE EEGavg:2-4  REAL
@ATTRIBUTE EEGavg:4-6  REAL
@ATTRIBUTE EEGavg:6-8  REAL
@ATTRIBUTE EEGavg:8-10  REAL
@ATTRIBUTE EEGavg:10-12  REAL
@ATTRIBUTE EEGavg:12-14  REAL
@ATTRIBUTE EEGavg:14-16  REAL
@ATTRIBUTE EEGavg:16-18  REAL
@ATTRIBUTE EEGavg:18-20  REAL
@ATTRIBUTE EEGavg:20-22  REAL
@ATTRIBUTE EEGavg:22-24  REAL
@ATTRIBUTE EEGavg:24-26  REAL
@ATTRIBUTE EEGavg:26-28  REAL
@ATTRIBUTE EEGavg:28-30  REAL
@ATTRIBUTE EEGavg:30-32  REAL
@ATTRIBUTE EEGavg:32-34  REAL
@ATTRIBUTE EEGavg:34-36  REAL
@ATTRIBUTE EEGavg:36-38  REAL
@ATTRIBUTE EEGavg:38-40  REAL
@ATTRIBUTE EEGavg:40-42  REAL
@ATTRIBUTE EEGavg:42-44  REAL
@ATTRIBUTE EEGavg:44-46  REAL
@ATTRIBUTE EEGavg:46-48  REAL
@ATTRIBUTE EEGavg:48-50  REAL
@ATTRIBUTE deltaEEG1  REAL
@ATTRIBUTE deltaEEG2  REAL
@ATTRIBUTE deltaAvg  REAL
@ATTRIBUTE thetaEEG1  REAL
@ATTRIBUTE thetaEEG2  REAL
@ATTRIBUTE thetaAvg  REAL
@ATTRIBUTE alphaEEG1  REAL
@ATTRIBUTE alphaEEG2  REAL
@ATTRIBUTE alphaAvg  REAL
@ATTRIBUTE betaEEG1  REAL
@ATTRIBUTE betaEEG2  REAL
@ATTRIBUTE betaAvg  REAL
@ATTRIBUTE gammaEEG1  REAL
@ATTRIBUTE gammaEEG2  REAL
@ATTRIBUTE gammaAvg  REAL
@ATTRIBUTE T-to-D_EEG1  REAL
@ATTRIBUTE T-to-D_EEG2  REAL
@ATTRIBUTE T-to-D_avg  REAL
@ATTRIBUTE B-to-D_EEG1  REAL
@ATTRIBUTE B-to-D_EEG2  REAL
@ATTRIBUTE B-to-D_avg  REAL
@ATTRIBUTE class {Wake, Non_REM, REM}

@DATA
-0.1790, 15.7679, -94.2054, 57.0353, 0.0763, 0.1577, 0.1119, 0.1101, 0.0485, 0.0702, 0.0517, 0.0630, 0.0647, 0.0549, 0.0482, 0.0526, 0.0547, 0.0173, 0.0078, 0.0019, 0.0019, 0.0013, 0.0011, 0.0009, 0.0007, 0.0004, 0.0009, 0.0005, 0.0008, 0.0588, 0.1285, 0.1464, 0.0945, 0.0975, 0.0911, 0.0566, 0.0554, 0.0602, 0.0533, 0.0421, 0.0460, 0.0390, 0.0146, 0.0070, 0.0020, 0.0010, 0.0009, 0.0009, 0.0008, 0.0007, 0.0006, 0.0006, 0.0008, 0.0009, 0.0665, 0.1413, 0.1312, 0.1014, 0.0760, 0.0819, 0.0544, 0.0588, 0.0622, 0.0540, 0.0447, 0.0489, 0.0459, 0.0158, 0.0074, 0.0020, 0.0014, 0.0010, 0.0010, 0.0008, 0.0007, 0.0005, 0.0007, 0.0007, 0.0009, 0.2340, 0.1873, 0.2106, 0.2220, 0.2409, 0.2315, 0.1187, 0.1886, 0.1536, 0.2342, 0.2255, 0.2299, 0.1911, 0.1577, 0.1744, 0.9486, 1.2865, 1.0988, 1.0007, 1.2043, 1.0912, Wake
-0.2917, 15.1339, -102.6241, 55.2629, 0.0570, 0.1182, 0.2061, 0.0669, 0.0788, 0.0731, 0.0627, 0.0800, 0.0352, 0.0379, 0.0536, 0.0487, 0.0465, 0.0211, 0.0068, 0.0018, 0.0013, 0.0007, 0.0008, 0.0007, 0.0002, 0.0007, 0.0006, 0.0003, 0.0004, 0.0733, 0.0963, 0.1626, 0.1353, 0.0711, 0.0689, 0.0492, 0.0933, 0.0491, 0.0515, 0.0372, 0.0317, 0.0540, 0.0131, 0.0068, 0.0020, 0.0006, 0.0005, 0.0004, 0.0005, 0.0004, 0.0007, 0.0004, 0.0005, 0.0006, 0.0656, 0.1066, 0.1830, 0.1032, 0.0747, 0.0709, 0.0555, 0.0871, 0.0426, 0.0451, 0.0449, 0.0397, 0.0505, 0.0168, 0.0068, 0.0019, 0.0010, 0.0006, 0.0006, 0.0006, 0.0003, 0.0007, 0.0005, 0.0004, 0.0005, 0.1751, 0.1696, 0.1724, 0.2731, 0.2979, 0.2855, 0.1519, 0.1400, 0.1459, 0.2157, 0.2431, 0.2294, 0.1842, 0.1494, 0.1668, 1.5591, 1.7566, 1.6562, 1.2317, 1.4335, 1.3310, Wake
-0.4117, 19.0440, -117.4414, 77.4248, 0.0825, 0.1072, 0.1546, 0.0780, 0.0700, 0.0884, 0.0460, 0.0538, 0.0461, 0.0563, 0.0625, 0.0648, 0.0514, 0.0177, 0.0066, 0.0034, 0.0021, 0.0020, 0.0014, 0.0011, 0.0010, 0.0009, 0.0009, 0.0007, 0.0005, 0.0864, 0.1116, 0.2149, 0.0971, 0.0702, 0.0547, 0.0532, 0.0392, 0.0454, 0.0596, 0.0379, 0.0555, 0.0409, 0.0197, 0.0048, 0.0017, 0.0010, 0.0008, 0.0009, 0.0008, 0.0009, 0.0007, 0.0008, 0.0006, 0.0006, 0.0848, 0.1098, 0.1895, 0.0891, 0.0701, 0.0689, 0.0502, 0.0454, 0.0457, 0.0582, 0.0483, 0.0594, 0.0453, 0.0188, 0.0056, 0.0025, 0.0015, 0.0013, 0.0011, 0.0010, 0.0009, 0.0008, 0.0008, 0.0007, 0.0006, 0.1898, 0.1980, 0.1939, 0.2326, 0.3121, 0.2723, 0.1584, 0.1249, 0.1416, 0.2022, 0.1974, 0.1998, 0.2171, 0.1676, 0.1924, 1.2255, 1.5764, 1.4046, 1.0652, 0.9970, 1.0304, Wake
-0.2619, 12.9669, -54.3767, 56.0506, 0.0698, 0.0827, 0.1326, 0.1089, 0.0900, 0.0631, 0.0774, 0.0470, 0.0494, 0.0639, 0.0561, 0.0625, 0.0508, 0.0196, 0.0094, 0.0033, 0.0023, 0.0020, 0.0016, 0.0019, 0.0014, 0.0011, 0.0010, 0.0012, 0.0010, 0.1012, 0.0630, 0.2053, 0.0770, 0.0941, 0.1011, 0.0528, 0.0576, 0.0392, 0.0560, 0.0394, 0.0504, 0.0257, 0.0079, 0.0057, 0.0032, 0.0030, 0.0027, 0.0024, 0.0021, 0.0021, 0.0022, 0.0020, 0.0020, 0.0019, 0.0880, 0.0712, 0.1748, 0.0904, 0.0924, 0.0851, 0.0631, 0.0532, 0.0435, 0.0593, 0.0464, 0.0555, 0.0362, 0.0128, 0.0073, 0.0032, 0.0027, 0.0024, 0.0021, 0.0020, 0.0018, 0.0018, 0.0015, 0.0016, 0.0016, 0.1524, 0.1642, 0.1583, 0.2415, 0.2823, 0.2619, 0.1531, 0.1952, 0.1741, 0.2378, 0.2057, 0.2217, 0.2151, 0.1527, 0.1839, 1.5845, 1.7192, 1.6544, 1.5597, 1.2525, 1.4004, Wake
-0.2292, 14.7372, -102.5748, 61.9584, 0.0714, 0.0877, 0.0850, 0.1484, 0.1046, 0.1007, 0.0651, 0.0364, 0.0449, 0.0663, 0.0469, 0.0586, 0.0376, 0.0218, 0.0072, 0.0028, 0.0028, 0.0019, 0.0019, 0.0013, 0.0016, 0.0012, 0.0015, 0.0013, 0.0013, 0.0843, 0.1843, 0.1479, 0.0954, 0.0494, 0.0829, 0.0588, 0.0588, 0.0479, 0.0563, 0.0459, 0.0303, 0.0329, 0.0145, 0.0055, 0.0014, 0.0005, 0.0003, 0.0004, 0.0005, 0.0003, 0.0004, 0.0003, 0.0004, 0.0006, 0.0783, 0.1392, 0.1185, 0.1201, 0.0752, 0.0912, 0.0617, 0.0483, 0.0465, 0.0609, 0.0463, 0.0435, 0.0351, 0.0179, 0.0063, 0.0021, 0.0016, 0.0010, 0.0011, 0.0009, 0.0009, 0.0008, 0.0008, 0.0008, 0.0009, 0.1591, 0.2686, 0.2138, 0.2334, 0.2432, 0.2383, 0.2053, 0.1323, 0.1688, 0.2126, 0.2218, 0.2172, 0.1896, 0.1341, 0.1618, 1.4666, 0.9058, 1.1145, 1.3362, 0.8260, 1.0158, Wake
-0.3471, 11.8002, -83.0297, 55.1644, 0.1076, 0.1022, 0.0854, 0.0947, 0.0974, 0.1045, 0.0836, 0.0482, 0.0498, 0.0430, 0.0392, 0.0351, 0.0625, 0.0142, 0.0077, 0.0050, 0.0034, 0.0030, 0.0025, 0.0025, 0.0018, 0.0017, 0.0017, 0.0017, 0.0015, 0.1014, 0.1352, 0.1508, 0.1249, 0.0915, 0.0738, 0.0336, 0.0461, 0.0349, 0.0499, 0.0533, 0.0410, 0.0347, 0.0178, 0.0046, 0.0026, 0.0009, 0.0005, 0.0005, 0.0005, 0.0004, 0.0002, 0.0004, 0.0003, 0.0003, 0.1044, 0.1193, 0.1193, 0.1103, 0.0943, 0.0886, 0.0577, 0.0471, 0.0421, 0.0466, 0.0465, 0.0382, 0.0482, 0.0161, 0.0061, 0.0038, 0.0021, 0.0017, 0.0015, 0.0015, 0.0011, 0.0009, 0.0010, 0.0010, 0.0009, 0.2098, 0.2366, 0.2232, 0.1802, 0.2757, 0.2279, 0.2019, 0.1652, 0.1836, 0.2246, 0.1644, 0.1945, 0.1835, 0.1580, 0.1708, 0.8589, 1.1652, 1.0212, 1.0709, 0.6950, 0.8717, Wake
-0.3167, 27.7896, -156.4839, 135.5110, 0.0815, 0.1167, 0.1235, 0.1050, 0.0786, 0.0785, 0.0643, 0.0815, 0.0403, 0.0554, 0.0492, 0.0500, 0.0464, 0.0138, 0.0077, 0.0015, 0.0012, 0.0009, 0.0006, 0.0005, 0.0008, 0.0006, 0.0004, 0.0004, 0.0007, 0.1057, 0.1162, 0.1403, 0.0855, 0.0902, 0.0713, 0.0676, 0.0562, 0.0430, 0.0534, 0.0546, 0.0497, 0.0366, 0.0120, 0.0066, 0.0024, 0.0018, 0.0014, 0.0013, 0.0009, 0.0009, 0.0008, 0.0007, 0.0005, 0.0006, 0.0950, 0.1165, 0.1329, 0.0942, 0.0850, 0.0745, 0.0661, 0.0674, 0.0418, 0.0542, 0.0522, 0.0498, 0.0409, 0.0128, 0.0071, 0.0020, 0.0015, 0.0012, 0.0010, 0.0008, 0.0009, 0.0007, 0.0006, 0.0004, 0.0006, 0.1982, 0.2219, 0.2101, 0.2286, 0.2258, 0.2272, 0.1571, 0.1615, 0.1593, 0.2414, 0.2201, 0.2308, 0.1747, 0.1707, 0.1727, 1.1532, 1.0174, 1.0815, 1.2182, 0.9917, 1.0985, Wake
-0.3155, 12.8380, -95.8300, 95.1900, 0.0591, 0.0918, 0.0679, 0.0951, 0.1299, 0.1153, 0.0817, 0.0480, 0.0553, 0.0573, 0.0681, 0.0526, 0.0445, 0.0167, 0.0075, 0.0012, 0.0013, 0.0011, 0.0012, 0.0008, 0.0008, 0.0007, 0.0007, 0.0009, 0.0005, 0.0727, 0.1204, 0.1562, 0.1010, 0.1124, 0.0573, 0.1054, 0.0498, 0.0373, 0.0326, 0.0598, 0.0399, 0.0286, 0.0171, 0.0050, 0.0014, 0.0002, 0.0005, 0.0005, 0.0004, 0.0004, 0.0002, 0.0004, 0.0004, 0.0003, 0.0665, 0.1074, 0.1161, 0.0983, 0.1204, 0.0837, 0.0946, 0.0490, 0.0455, 0.0438, 0.0635, 0.0457, 0.0358, 0.0169, 0.0061, 0.0013, 0.0007, 0.0008, 0.0008, 0.0006, 0.0006, 0.0005, 0.0005, 0.0006, 0.0004, 0.1508, 0.1931, 0.1719, 0.1629, 0.2572, 0.2101, 0.2453, 0.1697, 0.2075, 0.2424, 0.2250, 0.2337, 0.1986, 0.1550, 0.1768, 1.0803, 1.3324, 1.2218, 1.6068, 1.1657, 1.3592, Wake
-0.2941, 10.1222, -62.0569, 45.9088, 0.0813, 0.0979, 0.1669, 0.0937, 0.0938, 0.0603, 0.0771, 0.0502, 0.0465, 0.0630, 0.0344, 0.0480, 0.0514, 0.0197, 0.0071, 0.0016, 0.0008, 0.0007, 0.0010, 0.0008, 0.0007, 0.0007, 0.0006, 0.0008, 0.0007, 0.1034, 0.1562, 0.1245, 0.0999, 0.1021, 0.0467, 0.0440, 0.0654, 0.0611, 0.0464, 0.0411, 0.0353, 0.0301, 0.0207, 0.0079, 0.0029, 0.0023, 0.0021, 0.0014, 0.0016, 0.0011, 0.0014, 0.0008, 0.0008, 0.0007, 0.0927, 0.1281, 0.1449, 0.0969, 0.0981, 0.0533, 0.0599, 0.0581, 0.0541, 0.0544, 0.0379, 0.0415, 0.0404, 0.0202, 0.0075, 0.0023, 0.0016, 0.0014, 0.0013, 0.0012, 0.0009, 0.0010, 0.0007, 0.0008, 0.0007, 0.1792, 0.2596, 0.2194, 0.2606, 0.2244, 0.2425, 0.1542, 0.1488, 0.1515, 0.2367, 0.2169, 0.2268, 0.1693, 0.1503, 0.1598, 1.4546, 0.8642, 1.1053, 1.3212, 0.8355, 1.0338, Wake
-0.3156, 14.9644, -72.2972, 89.9714, 0.0707, 0.0967, 0.1134, 0.0941, 0.1058, 0.0702, 0.0489, 0.0796, 0.0777, 0.0553, 0.0643, 0.0596, 0.0363, 0.0153, 0.0037, 0.0022, 0.0010, 0.0010, 0.0009, 0.0008, 0.0005, 0.0007, 0.0005, 0.0005, 0.0004, 0.0841, 0.1401, 0.1385, 0.0771, 0.0861, 0.0596, 0.0664, 0.0437, 0.0664, 0.0484, 0.0516, 0.0541, 0.0494, 0.0154, 0.0062, 0.0021, 0.0017, 0.0014, 0.0013, 0.0012, 0.0010, 0.0011, 0.0013, 0.0009, 0.0009, 0.0777, 0.1196, 0.1266, 0.0852, 0.0954, 0.0646, 0.0581, 0.0607, 0.0718, 0.0517, 0.0577, 0.0567, 0.0432, 0.0153, 0.0050, 0.0021, 0.0014, 0.0012, 0.0011, 0.0010, 0.0008, 0.0009, 0.0009, 0.0007, 0.0007, 0.1674, 0.2242, 0.1958, 0.2075, 0.2156, 0.2116, 0.1760, 0.1458, 0.1609, 0.2615, 0.2250, 0.2432, 0.1877, 0.1895, 0.1886, 1.2397, 0.9616, 1.0805, 1.5622, 1.0033, 1.2422, Wake
